age,gender,income_level,nationality,GPA,attendance,course_completion,assignment_delays,LMS_logins,forum_posts,night_study_hours,engagement_score,sentiment_score,motivation,emotional_exhaustion,depersonalization,personal_accomplishment,autonomy,competence,relatedness,O,C,E,A,N,burnout_score,burnout_level,dropout_status,time_to_dropout
27,F,Medium,US,2.89,75.99713369818485,90,1,31.257666666666665,9,11.376438749263727,71.06468555126034,-0.9363046028770261,70.77616120831719,41,7,29,6,2,2,91,28,66,4,87,19,Low,1,1
23,F,Medium,UK,3.3,98.4051591224258,35,1,32.257666666666665,7,6.543515835690845,59.09533854446842,-0.7782407482192257,75.1033155183047,27,13,34,2,6,5,99,22,18,52,40,6,Low,1,59
23,F,Medium,CN,2.83,76.71675951487133,53,2,29.257666666666665,8,12.627881908091673,78.5229838065262,0.17910472916290798,78.24623341941853,40,42,21,1,3,4,48,45,13,92,81,61,High,0,7
25,M,Medium,DE,2.82,80.89938395820992,10,3,37.257666666666665,3,10.587922718506569,66.66292780581807,0.48846951783875747,94.8842242693934,49,37,50,5,3,1,5,13,45,77,46,36,Medium,0,23
27,M,Medium,UK,2.77,87.62866200773556,27,2,30.257666666666665,3,9.988977919735097,68.08622490818418,-0.35840261158605813,43.55636705483993,50,27,17,6,4,5,77,60,55,80,35,60,Medium,0,12
28,F,High,US,2.23,62.835264859393476,58,3,29.757666666666665,6,10.824090297721945,70.7828261437893,0.8914573549255704,37.34333390029561,16,34,12,1,5,6,89,13,42,40,12,38,Medium,0,36
18,F,High,DE,2.92,80.72094800839756,17,2,32.757666666666665,4,9.939555851325366,60.8281694908217,0.6986066681326855,53.57209370625277,12,44,25,3,2,5,45,78,34,12,40,31,Medium,0,73
25,M,High,CN,2.8,80.64213071961308,96,0,28.257666666666665,3,11.32467017829582,61.50167656484125,0.04897981307294952,100.0,24,36,8,4,1,3,31,40,62,56,70,52,Medium,1,2
19,F,Medium,CN,3.59,98.6232097324874,27,1,37.257666666666665,4,9.37819704894726,61.508224332159905,0.27979998657471383,87.01149689657811,2,28,34,4,1,4,38,0,100,56,53,0,Low,0,25
21,F,Medium,DE,2.4,67.64259169002176,16,2,28.257666666666665,11,9.127430839728547,68.12246471691175,0.1863339440009666,48.99786808717324,22,19,29,6,6,1,42,46,92,56,61,12,Low,0,4
27,M,Medium,UK,2.71,76.18460683549878,78,2,23.257666666666665,5,4.69610648775401,61.645707236056715,-0.3886823563485917,53.04589435053804,36,45,19,5,1,5,26,43,20,96,59,62,High,1,40
21,F,High,US,2.55,70.71644209176384,9,6,26.257666666666665,3,14.094608672206522,76.7568963252806,-0.8747645945908749,59.697646145839485,9,29,0,6,1,6,35,5,77,77,45,38,Medium,0,90
27,M,Medium,US,3.72,69.6558819630862,32,1,17.257666666666665,5,6.5109375261848585,43.45379055730595,0.6091384106719768,65.45990025463786,41,42,24,4,1,5,30,29,11,24,30,59,Medium,1,30
23,M,Medium,CN,2.57,91.27402727064579,20,1,42.257666666666665,7,14.846368455691778,47.51280786323586,-0.07888531903799434,72.82344304060067,43,43,27,2,2,3,12,29,7,78,17,59,Medium,1,4
20,M,Medium,US,3.28,80.26651502000817,70,2,37.757666666666665,10,9.272999189345908,98.3287180587129,0.6837124239573611,73.65779945207223,17,16,30,6,1,4,64,74,46,7,13,3,Low,0,10
22,M,Medium,US,3.49,74.4443280357348,85,1,21.757666666666665,7,13.65256817220021,63.48785270489707,-0.25092718257623603,83.93380362599069,15,37,2,3,3,1,38,77,28,38,73,50,Medium,0,41
24,F,Medium,UK,2.93,74.82154098857464,19,0,26.757666666666665,2,13.126679824083276,54.77950369340006,-0.971431397865002,100.0,47,32,0,2,1,3,5,27,24,42,44,79,High,0,42
27,M,Low,US,2.31,74.36772923054605,42,0,27.257666666666665,3,12.886687680569064,69.61756228915367,-0.7461665020636361,57.32916591638342,41,11,39,5,2,4,62,94,62,39,7,13,Low,1,1
25,F,Medium,US,2.32,75.26196822592306,48,1,20.257666666666665,3,10.13930959238484,81.5064711992025,-0.6855382611523382,55.7256408594677,39,28,10,5,3,5,31,23,81,13,82,57,Medium,1,4
29,M,Medium,CN,3.43,67.35554655710736,69,2,26.257666666666665,4,6.416039022227414,79.61530607020252,0.4619510107143656,52.714658475464944,17,48,45,5,3,6,14,53,54,27,37,20,Low,0,52
28,F,Low,US,2.37,77.412704574348,35,2,26.757666666666665,6,9.453927025510728,58.77701777953642,-0.9358618319592011,54.46326358059049,20,27,9,4,3,5,68,17,1,78,27,38,Medium,0,32
27,M,High,IN,3.2,76.40793308347855,52,0,33.257666666666665,3,9.05656017100955,62.30992697420671,0.6386466822138823,67.3786157362174,35,35,18,5,1,1,70,15,100,1,47,52,Medium,0,35
25,F,Medium,DE,3.06,72.42203293596657,50,3,24.257666666666665,9,9.693495141340891,64.99397684072882,0.3813534415279556,72.71179468359217,36,5,44,5,1,2,9,50,65,92,37,0,Low,0,100
21,F,Low,UK,3.19,81.55046256304975,1,5,31.257666666666665,7,6.316910356697016,74.67070561056026,-0.3533212638378389,94.5236279471245,12,19,6,2,5,6,76,24,43,83,40,25,Low,0,39
22,F,High,DE,3.24,82.39889480118158,57,1,30.757666666666665,3,9.141142352335333,70.68217926195317,0.04393790910564621,45.82030152845512,0,1,45,6,1,4,54,5,41,45,27,0,Low,0,186
19,M,Medium,IN,2.53,74.43352785708292,57,2,23.257666666666665,7,1.2320262067679266,56.24482970531313,0.8643445768614888,67.1723900433775,2,18,0,4,3,5,15,99,79,20,3,20,Low,1,58
22,M,Medium,UK,2.51,78.55865849233746,100,0,30.757666666666665,5,9.099084060108485,62.35723808430846,-0.8605146990276547,43.18674471002218,17,17,9,3,2,4,46,70,94,100,61,25,Low,0,11
29,M,Medium,IN,3.36,100.0,51,0,34.257666666666665,7,10.377392329019681,66.02048045436541,-0.2732981571348261,68.09745206584446,23,9,15,3,1,1,100,68,6,96,74,17,Low,0,9
23,M,High,IN,2.69,100.0,90,0,37.257666666666665,5,7.65426121295057,92.23066827770182,-0.21799591212763736,100.0,8,25,35,1,1,6,6,89,92,19,96,0,Low,0,84
19,M,Medium,US,1.62,69.45909809870264,35,1,35.257666666666665,2,9.18955808908506,67.3395915088445,0.9263328488554727,57.26405375266809,1,25,29,3,1,6,49,73,44,81,14,0,Low,1,25
25,F,Medium,DE,3.32,70.85552433411442,70,0,29.257666666666665,2,10.48772252844525,100.0,0.9504544575390403,100.0,15,28,21,5,2,3,7,19,80,92,18,22,Low,0,88
29,M,Low,US,2.48,69.40596723008004,91,4,28.257666666666665,10,13.038426666763009,65.96174642489113,0.6827121750789327,43.260960563018166,44,20,28,6,5,2,20,90,4,84,42,36,Medium,1,48
28,M,Medium,IN,3.23,90.57053939972239,15,2,29.757666666666665,1,13.163894346175258,44.752809487482395,-0.23600670163887583,50.79426860982275,10,26,27,1,1,2,60,49,43,32,78,9,Low,0,9
21,M,Medium,CN,3.7,76.01470700424306,57,3,32.257666666666665,4,10.916154444139375,75.26826067340704,0.7787975012570645,53.14753417167569,33,29,40,5,5,5,59,86,57,62,63,22,Low,0,25
23,F,Medium,CN,3.01,82.39674243596299,92,4,38.257666666666665,8,9.911835012812194,85.70798325079335,-0.0318691855688682,63.49714409943611,36,7,20,2,1,2,53,88,43,91,67,23,Low,0,1
24,F,Medium,IN,3.5,99.96967333280884,56,3,33.757666666666665,4,11.065524158585182,77.12639170174208,0.28811405923790234,56.91755039044716,31,24,47,1,2,4,58,0,6,61,53,8,Low,0,37
20,F,High,IN,3.08,79.89535205689538,90,2,29.757666666666665,5,15.399856820548173,72.95024241680689,0.8558008918175364,75.27933866441558,42,41,23,4,4,6,72,86,2,91,99,60,Medium,0,72
21,M,Medium,IN,3.79,87.0624872175732,42,2,41.257666666666665,1,11.504450451208491,64.30465897308912,-0.5038462390193963,5.0459942916555605,14,35,43,1,6,4,47,8,88,19,39,6,Low,0,33
20,M,Low,DE,2.47,85.20420749300393,89,2,43.757666666666665,4,10.781881534988065,65.72431180178904,0.7215593290801543,40.402952577938954,9,36,35,2,1,4,63,78,93,35,10,10,Low,0,37
29,F,High,CN,3.0,74.1178264830405,63,1,31.257666666666665,5,13.218663866384126,35.08832686103309,-0.20150805004329242,97.88941991651797,8,15,20,2,4,3,90,67,70,97,48,3,Low,0,43
26,F,Medium,DE,3.34,90.59161731741858,48,3,32.757666666666665,7,10.144132018209554,82.88578645620348,0.7424740545902258,31.847767839044057,21,44,14,6,3,2,49,18,98,2,91,51,Medium,0,69
28,M,High,DE,2.9,71.50299190899814,21,2,28.757666666666665,2,7.439893668261574,64.31269347562952,0.09684112870733785,52.867477890972594,26,24,25,1,5,2,11,93,91,84,55,25,Low,0,38
27,M,High,UK,3.58,93.39879786444176,17,4,31.257666666666665,9,11.377482910221037,87.19567790757992,-0.505388324578526,72.24998021037094,30,45,1,2,5,3,43,44,21,30,81,74,High,0,18
29,M,High,DE,2.78,74.12549034790881,29,2,31.257666666666665,4,10.51102387427807,62.010851990229376,0.5310465212857305,59.09036804800191,45,8,17,6,5,3,70,37,56,14,69,36,Medium,1,24
19,F,Medium,US,4.0,75.22032279463906,76,2,30.257666666666665,4,9.34420583582133,69.19771595798422,-0.7696976037769219,43.002684128079835,7,42,25,2,1,1,32,99,47,44,91,24,Low,0,23
28,M,Medium,DE,4.0,69.11512176373208,47,3,23.757666666666665,11,11.631205778099684,88.73785870264764,-0.7132639207325115,68.90216007341579,31,15,18,2,2,6,34,56,93,41,61,28,Low,0,98
18,F,Low,CN,3.14,70.75740589183353,39,2,30.757666666666665,2,4.562348211528162,90.03853090952354,-0.7036670079704181,76.716802158342,18,33,5,5,2,1,4,24,58,99,75,46,Medium,0,103
23,F,Medium,UK,3.28,75.73235677671465,47,2,27.257666666666665,2,8.378026256916872,82.61835118949179,0.6806692919327377,48.060678690453855,35,0,30,1,5,2,94,87,13,36,61,5,Low,0,4
25,F,Medium,IN,3.6,55.686514420893886,34,2,24.257666666666665,5,7.363934380286195,41.93289418568283,0.7425039844248862,68.14797569049244,9,22,48,1,4,3,7,13,54,69,28,0,Low,1,1
22,F,Medium,US,2.41,77.66667658824403,81,3,33.757666666666665,6,7.6754421330375955,50.84443538061913,0.1452116387650988,77.21570461870726,0,39,22,3,4,6,87,60,51,32,3,17,Low,0,26
19,M,High,DE,2.34,74.92025762758483,39,0,46.257666666666665,2,9.538058447348737,80.51690602181051,-0.44125157820769734,81.60925535207407,28,32,17,4,2,5,58,41,48,64,42,43,Medium,1,94
20,F,Low,CN,3.63,87.90011098611832,47,0,28.757666666666665,5,7.2699494149831265,59.52363595131601,-0.2115825972503944,67.40135356935444,15,15,35,1,1,1,74,84,36,79,95,0,Low,1,88
27,M,Medium,US,3.14,84.22980738356826,56,2,30.257666666666665,6,15.030896228465558,71.10627811225055,-0.632792688346618,94.18938901162531,46,12,1,1,4,5,58,15,61,65,10,57,Medium,0,7
21,M,Medium,UK,2.89,72.92362568900703,65,2,26.257666666666665,6,11.35499997033443,73.11141974718888,-0.9923710160284456,60.946486449590424,37,11,45,1,6,3,9,59,39,64,24,3,Low,0,52
21,M,Medium,US,3.01,75.41449240574093,33,1,29.257666666666665,3,7.616887102524465,73.84260663553565,0.6792712565082022,40.33943157049005,23,47,24,5,5,1,4,47,79,40,0,46,Medium,0,111
29,M,Low,CN,1.81,77.65381961479102,7,2,29.257666666666665,4,4.778695678790501,54.163939698096854,-0.6107385208508007,55.63034662916643,19,15,38,5,2,3,27,49,33,73,42,0,Low,0,15
19,M,Low,UK,2.9,94.8595655447585,69,0,30.257666666666665,3,8.249671238481188,85.34285196794552,-0.8418118954291931,84.24126148166098,34,32,16,3,6,5,43,62,41,69,95,50,Medium,0,6
28,M,High,UK,2.62,71.77695319543558,56,1,28.757666666666665,3,9.010871168249883,62.13322879321192,-0.7363865413867092,42.1312674521088,23,0,10,1,2,3,97,37,11,31,43,13,Low,1,31
29,M,Medium,CN,3.46,72.80239335049346,65,2,22.257666666666665,4,8.095149807058485,78.84793470073599,0.852122465649485,15.161664971847273,36,30,34,5,6,5,95,39,7,28,83,32,Medium,1,24
25,M,Low,IN,3.5,68.7141584838285,54,2,32.257666666666665,2,17.627458495571965,66.89235048101713,-0.2735418395376086,69.19481462211053,37,33,14,5,5,6,15,30,40,5,60,56,Medium,0,88
19,M,Low,DE,3.29,65.17960520563815,51,1,25.257666666666665,7,5.037404768605228,98.81281995118493,0.2961757173972366,51.122267504456886,50,29,35,1,1,2,18,25,27,75,8,44,Medium,0,31
19,M,Medium,US,3.2,83.07003623625495,95,2,36.257666666666665,6,10.153102328368231,91.72753460093061,-0.9374273738053667,100.0,15,42,35,5,1,4,95,95,72,1,30,22,Low,1,80
21,F,Low,US,2.25,82.0290333107321,5,2,41.257666666666665,2,9.610202577384726,100.0,0.0582322164963649,65.32961566573309,32,34,35,6,6,1,77,46,12,65,45,31,Medium,0,63
24,M,Medium,US,3.3,92.82761852835353,9,3,32.757666666666665,8,9.252605457358548,94.79191189972877,0.4933407054551373,84.74344339546397,25,10,40,5,1,3,37,35,23,41,32,0,Low,0,2
19,M,Medium,DE,3.31,90.4140900772693,94,8,32.257666666666665,5,4.181831292050682,67.98556284905148,-0.8688290153641591,50.18981946165847,9,34,19,3,1,5,51,79,61,75,29,24,Low,0,35
23,M,Low,CN,3.62,100.0,89,0,24.257666666666665,3,9.871678941408591,61.99082309633661,-0.40214516678400947,71.87825765780218,11,12,50,2,3,3,3,13,3,9,60,0,Low,0,51
19,M,Medium,US,4.0,79.26127232458904,41,1,25.257666666666665,5,10.541213473626009,52.968617261171254,-0.35596203107938806,67.4304127006137,0,2,43,3,3,4,78,82,51,15,30,0,Low,0,14
24,F,Low,US,2.15,77.39470436203793,54,3,29.757666666666665,5,12.129080396430997,73.99341042342537,0.7745736839823931,87.58890219929434,15,47,23,3,3,3,82,0,65,78,86,39,Medium,0,19
18,F,Medium,US,2.81,66.99773654866641,45,2,19.757666666666665,5,11.449628289406398,70.36518918260163,0.33032114805298507,63.827001923627456,7,21,2,2,3,3,27,0,15,55,90,26,Low,0,62
26,F,High,DE,2.63,86.96578167476326,100,2,14.757666666666667,3,13.654751625622726,69.35477202811632,0.7307247095218952,49.52714546893439,9,22,2,6,2,5,7,26,17,92,2,29,Low,0,58
18,F,Medium,CN,3.09,81.18534241446339,46,5,26.757666666666665,3,3.861358808964919,57.56378787940314,-0.24891544109778563,80.77245676830697,6,49,23,1,1,4,99,4,34,19,100,32,Medium,0,20
20,M,High,US,3.01,86.51266305010684,76,0,32.757666666666665,4,9.2950826388062,75.41484811640862,0.18226018603172123,45.71587834192455,0,30,1,2,3,2,48,49,6,2,56,29,Low,0,6
20,F,Low,IN,2.88,68.608757807616,36,2,27.757666666666665,5,17.51351830310535,64.27187045713197,0.035485039884029845,43.653146364120936,26,38,48,1,2,5,36,92,92,31,42,16,Low,0,16
27,M,Medium,UK,3.51,83.51604189026699,38,2,14.257666666666667,5,13.18027731043049,62.76203723636719,-0.4477928752729663,59.11893103975077,47,44,21,4,3,5,2,17,66,19,55,70,High,0,3
18,F,Medium,CN,2.45,82.05199617953942,68,3,38.757666666666665,5,5.6396992009592255,72.4583191159485,-0.15515990613908714,53.47744557640051,22,9,21,1,5,1,63,23,88,79,82,10,Low,0,10
23,M,Medium,DE,2.48,81.39035039893687,40,3,37.257666666666665,0,10.26441055732998,68.83194715657524,-0.5100504158249586,60.33441752955735,25,7,26,5,1,4,98,12,36,58,12,6,Low,0,3
25,F,High,US,2.49,73.16734091809477,1,1,21.257666666666665,7,6.857771893335205,48.607299321353175,-0.9676088724951084,46.64120049268653,31,21,50,4,2,4,69,41,59,42,16,2,Low,0,43
24,M,Low,US,2.82,91.89324648553398,17,2,38.757666666666665,6,8.705387253069876,58.184316915691056,0.9363382728438097,82.3996595939484,29,3,30,4,6,4,97,43,44,97,4,2,Low,0,42
26,F,High,US,2.39,100.0,88,1,26.757666666666665,3,15.998980240434502,77.98914299104031,0.9161509359049071,82.11018092264048,3,23,36,5,4,2,66,11,1,5,77,0,Low,0,1
27,M,High,IN,2.98,68.89655973702385,37,2,27.257666666666665,2,12.875482921309827,69.28404189696015,0.6484276632967492,76.61283850509676,22,27,28,6,4,1,70,95,40,80,80,21,Low,0,15
22,F,Medium,UK,2.92,87.20443979592957,10,2,27.757666666666665,4,5.44015957400813,40.861815594296445,-0.6508631941756631,74.63711928704174,41,49,20,1,6,2,53,33,79,90,5,70,High,1,40
27,F,Medium,UK,2.61,51.221498486596104,94,3,25.257666666666665,8,7.704336184613741,80.48201782694689,-0.9596694572802305,23.03907907869509,11,8,4,5,3,4,81,22,11,0,83,15,Low,1,31
21,F,Medium,IN,3.44,86.68609949482459,100,3,25.257666666666665,9,10.00244310861125,69.25840678651983,-0.6080922411269303,62.32600003586065,5,48,34,1,1,5,68,76,5,10,34,19,Low,0,14
29,M,Low,UK,2.97,61.29845383458245,50,2,31.257666666666665,4,9.20700660184548,54.0739806873008,0.7431253502868096,77.15613348530336,32,12,25,1,6,2,59,66,3,18,4,19,Low,1,85
24,M,Medium,UK,3.53,74.75032652100742,63,2,30.757666666666665,4,10.939685797713976,59.96617682111757,-0.6936120297041743,86.81384312954307,34,3,48,1,1,4,68,5,92,50,57,0,Low,0,1
26,F,Medium,US,2.9,66.8697533824575,76,2,19.757666666666665,9,7.676911515943363,72.47837143372034,-0.5329620184028683,55.922192902691805,36,43,7,2,5,5,92,95,48,42,68,72,High,0,6
28,M,High,UK,2.99,77.84388505050605,6,5,28.757666666666665,6,8.901332114103333,36.87060441069325,0.38251296713676153,86.07020373829323,35,13,43,3,2,6,74,45,58,48,6,5,Low,1,8
27,M,Medium,CN,2.72,88.38793698367829,29,3,23.257666666666665,9,7.641994211223878,76.30782543786397,-0.04513485938453887,66.14719365818596,15,15,34,2,5,5,42,82,64,78,25,0,Low,1,72
28,M,Medium,US,3.0,61.42686736272977,56,4,16.757666666666665,8,8.897130642666331,84.80106887209735,0.30800901271395387,8.340339128172296,28,3,9,2,1,3,73,62,25,40,11,22,Low,0,21
24,M,Medium,IN,3.36,76.40520310484361,55,1,33.757666666666665,5,12.111708694928291,83.35854488646167,0.12612411545791313,58.01568937068673,43,27,26,6,2,3,90,80,57,100,23,44,Medium,1,63
18,M,Medium,UK,2.79,74.86631231183944,33,2,30.757666666666665,4,10.890228297653245,87.31369377449269,0.14495009320427155,43.19706232614569,8,9,41,1,1,4,67,28,9,0,32,0,Low,0,50
23,M,High,UK,3.26,95.81048683871875,0,3,27.257666666666665,2,7.896093516806012,58.30094112046187,0.7454657037395411,47.75746059070328,35,30,35,1,4,2,53,21,23,18,92,30,Low,0,13
20,F,Low,IN,2.59,84.31761007850285,96,0,38.757666666666665,4,13.396901056324717,85.50958271664784,-0.5644894395462323,81.04070188423063,31,22,11,3,3,1,91,82,74,25,47,42,Medium,0,4
28,F,High,UK,3.38,68.22782886726577,62,4,32.757666666666665,2,13.191207578245779,74.08468046003281,-0.7215760784752796,65.94932835021145,13,13,35,5,2,4,38,84,82,10,62,0,Low,0,82
20,M,High,IN,2.71,75.287056209696,76,2,25.757666666666665,7,9.996652364548005,57.470471521400995,-0.1902064947752118,49.631794699252794,47,30,5,4,4,6,90,0,13,15,21,72,High,0,14
20,M,High,CN,3.43,95.56104238385531,44,1,34.757666666666665,2,9.225801174846072,77.0019645754784,0.06923416783505631,46.46751315303308,8,7,7,4,1,3,54,9,26,10,60,8,Low,0,100
20,M,Medium,US,3.03,87.14365316774024,51,2,36.757666666666665,4,15.287617663006538,76.54621160462396,-0.019139746066914487,68.76096595615459,41,41,20,2,5,4,4,43,47,16,32,62,High,0,1
25,F,High,DE,3.76,70.81766537594578,44,1,31.257666666666665,3,14.82075740444111,93.10766090932978,0.07970236323853497,56.312814993287326,28,35,3,3,1,4,5,32,63,40,44,60,Medium,0,27
24,M,Medium,DE,2.42,77.32929461616911,43,1,24.757666666666665,9,5.455114652570504,87.95760564633028,-0.027638847015819756,73.9317577254559,6,4,30,5,1,6,99,86,2,12,17,0,Low,0,97
29,F,Medium,US,2.26,77.64890851591852,67,2,15.257666666666667,5,13.58288077090015,59.64135866183798,0.035744525405905,43.47350282196177,22,50,9,3,2,4,27,56,63,49,64,63,High,1,9
22,F,Low,CN,2.69,74.62018072844194,100,3,31.757666666666665,2,15.1713667382916,75.11007983039629,0.8638392141279343,52.388560834049485,16,14,15,4,4,4,80,11,92,83,10,15,Low,0,24
21,F,Medium,UK,2.31,62.8978784367831,78,1,34.257666666666665,2,11.969920266523108,74.94938839446131,-0.9002363579909063,37.608765639241675,21,49,30,1,6,6,65,47,87,49,41,40,Medium,0,11
18,M,Medium,CN,2.31,73.22378284610032,67,3,22.757666666666665,2,8.599237207820202,73.76957404186052,0.883303043968463,48.92988851545587,40,31,43,5,5,1,59,19,78,10,42,28,Low,0,9
18,F,Medium,IN,3.31,93.89199305865374,1,0,27.757666666666665,7,8.962943110366052,65.42735553912202,0.17442635343752522,100.0,32,46,7,6,3,1,51,72,61,53,37,71,High,1,28
22,F,Medium,DE,3.0,76.18855512938825,51,3,27.757666666666665,7,15.131850376324635,96.32024043198952,-0.9043370570785896,45.27093011023669,10,23,16,2,4,4,61,66,15,33,22,17,Low,0,4
29,F,High,IN,2.76,78.9674636953908,96,0,27.257666666666665,4,12.506278698088584,60.65328407367649,-0.8930859162891365,50.53129166425583,37,39,21,1,5,6,78,58,59,84,12,55,Medium,1,12
24,F,Low,IN,2.81,81.40525646853574,40,5,26.757666666666665,6,11.641758742020324,94.9957923664158,0.14303682401270157,43.518538320306746,36,15,6,3,3,6,39,31,64,58,65,45,Medium,0,68
28,F,Medium,IN,2.7,100.0,55,0,22.757666666666665,4,16.998344141571035,48.62790817322987,0.37815262872829103,56.33488894696916,4,35,10,6,5,3,65,63,23,25,94,29,Low,0,38
19,M,Low,DE,3.83,80.08874771416961,32,1,28.257666666666665,4,6.976876960760858,64.27870888669844,0.04056181153279881,58.55228274866601,46,9,25,6,3,2,43,24,48,4,22,30,Low,0,1
19,F,Medium,CN,2.63,90.93945353583511,19,2,39.257666666666665,5,9.727753381117754,81.46857348825927,-0.10227183587273458,84.36626588968629,0,7,19,4,3,5,68,28,51,43,11,0,Low,0,5
28,F,Medium,UK,2.34,74.01819827948803,71,0,21.757666666666665,4,10.569993658623499,54.20752563997277,-0.44588935992389667,51.886284371881786,14,36,32,4,5,2,38,52,8,53,19,18,Low,0,56
19,M,Medium,DE,3.4,77.40600739497509,31,2,39.257666666666665,4,9.36523969317991,58.97500345941712,0.21316784826714152,62.28406306808787,14,1,44,4,5,2,20,19,17,6,30,0,Low,0,43
18,M,Medium,DE,2.89,80.12552723110285,59,3,26.757666666666665,4,4.478906648778929,78.02440454306924,0.7951788827635469,22.518239574747618,4,11,14,1,2,4,95,63,47,46,37,1,Low,0,9
22,F,High,DE,4.0,72.25867058150615,59,1,22.757666666666665,5,13.011612309824795,44.07425826741716,-0.1551733565197997,42.704636834043235,33,24,8,2,1,5,97,89,86,75,30,49,Medium,1,1
29,M,High,DE,2.74,77.96282219397042,85,1,36.257666666666665,3,7.746364409087615,86.5717593101427,0.3913847078000836,81.71454314234659,23,34,45,5,2,4,60,72,37,86,10,12,Low,1,9
26,M,Medium,DE,3.42,88.8805093581327,94,1,35.757666666666665,6,7.692603096590104,92.17842703322694,-0.9652570760485302,42.88378472441716,41,29,17,3,6,3,65,20,84,72,75,53,Medium,0,5
19,F,Medium,DE,3.54,71.99635438908116,55,5,33.257666666666665,6,8.922851650851099,92.82217856270077,-0.10013352253433006,75.35216685334387,15,46,3,5,1,2,16,38,23,11,4,58,Medium,0,35
28,F,Medium,UK,2.74,80.00089030963639,5,0,27.757666666666665,5,9.30931225676315,74.88295625822775,0.5234410363172468,41.487273858498796,43,36,46,3,5,6,74,74,20,27,32,33,Medium,0,2
28,F,Low,US,2.63,87.08733551655932,58,2,19.757666666666665,3,9.635483585637061,63.58307714585712,0.6838205129733428,56.54132449511902,25,11,30,6,3,1,77,59,94,5,77,6,Low,0,20
27,M,High,US,3.37,71.75533951187256,89,1,36.257666666666665,8,12.891133191188647,64.56352741515674,0.07413146682734562,94.29784315521641,0,35,49,5,6,4,12,78,46,55,60,0,Low,0,48
28,M,Medium,UK,3.29,90.95413792614956,48,3,32.757666666666665,6,13.506538442291815,74.31032820748707,0.1330290185033336,74.90120697593655,15,36,42,4,4,1,70,92,22,14,17,9,Low,0,72
20,F,High,IN,2.29,80.72883479711322,57,2,29.757666666666665,5,9.22197578410659,71.94377131455602,-0.7231234234314563,20.956740536439987,18,43,32,5,5,3,16,72,73,8,11,29,Low,0,3
29,F,Low,DE,2.44,78.3487743666071,77,2,27.257666666666665,7,8.205571953524448,64.29668918372742,-0.40902152120036117,100.0,25,40,41,4,4,4,63,95,67,48,61,24,Low,1,160
21,M,Low,DE,1.73,59.91852194199785,44,1,30.257666666666665,4,9.614768372274288,93.75931566059437,0.3347958385950709,39.22777925289731,35,32,6,2,3,5,79,31,10,69,0,61,High,0,3
27,M,High,UK,3.3,76.26387557986527,41,0,23.257666666666665,6,7.319012756699864,66.30724673968906,0.533728845744176,97.32561991931385,8,32,33,2,1,6,26,63,98,10,30,7,Low,0,49
24,M,High,UK,2.87,83.71592416145303,48,1,32.757666666666665,6,9.914913625949445,91.55924499054362,-0.8361681179945755,51.075325687898456,41,23,8,2,2,6,87,39,12,19,84,56,Medium,0,25
27,F,High,IN,2.92,97.45345018802468,86,5,23.257666666666665,2,7.1616214405451535,71.49886563970091,0.921888714297713,35.42382358833319,8,16,2,4,6,4,62,54,2,62,32,22,Low,0,2
25,M,High,CN,2.15,85.67889154111613,49,1,34.257666666666665,5,16.381665215477703,70.5684707211731,0.9071344946013926,50.97754099482994,50,48,42,4,3,4,99,55,85,54,34,56,Medium,0,4
25,F,Medium,DE,2.45,91.26216231778349,33,1,31.257666666666665,7,10.383750294422754,77.77066633276489,-0.62480676264055,46.93364462921281,19,12,4,1,3,3,82,74,14,80,15,27,Low,0,8
25,M,Low,DE,2.76,67.90895426378061,60,2,36.257666666666665,5,8.386513529715145,77.57591416665113,-0.9095925196702257,49.036702985045885,47,42,0,3,6,2,63,65,48,6,45,89,High,0,2
27,F,Low,IN,2.66,78.73177504347045,69,4,34.257666666666665,7,12.117584959160977,67.83162198123821,-0.3179253078672315,61.19488533172919,4,40,24,5,1,2,16,91,70,56,23,20,Low,0,33
26,M,Medium,DE,3.06,92.20746442328864,92,2,35.757666666666665,5,6.3038282586105385,78.4702667518864,0.9173904972508669,69.56084076036565,10,31,18,5,4,1,96,69,73,48,2,23,Low,0,1
19,F,Low,CN,3.29,71.12266449600077,90,5,32.257666666666665,5,7.865318357075525,80.31332859799589,-0.11397504248936818,88.40824513936955,50,16,48,5,4,6,55,22,55,36,57,18,Low,0,1
27,F,High,DE,4.0,89.65222628973103,79,2,28.257666666666665,1,11.271373827981717,94.79853016302096,-0.3726146436602433,64.28814391960637,8,36,34,2,5,5,42,52,17,66,1,10,Low,0,28
24,M,Low,CN,2.99,87.33317864600333,77,3,31.757666666666665,4,10.406135958132614,71.06980137742312,0.789372783482938,61.54985051006623,16,41,3,5,1,6,21,37,82,45,59,54,Medium,0,6
21,M,Low,UK,3.56,82.7472364844982,45,1,32.257666666666665,4,13.146278021234284,58.28747128760548,-0.7314559334736765,45.54789692677066,28,30,7,2,5,2,51,54,67,95,20,51,Medium,0,24
24,F,Low,US,2.59,76.71297374864025,34,1,30.757666666666665,10,1.8112363115992043,59.83553561408499,0.8821810764631064,54.39457300160993,10,42,43,5,6,5,55,2,48,24,28,9,Low,0,25
29,F,Low,IN,2.16,70.13704845427564,56,4,25.257666666666665,5,12.454379719320336,100.0,0.6179961915075385,49.917587354565214,17,26,40,5,4,1,4,98,61,79,8,3,Low,1,84
